DISPLAY_NAME,sku_id,NUME_PRODUS,NAME,Producator,Caracteristici principale,Diagonala Ecran,Camera,Memorie interna,Disponibil in magazin 
Toate Telefoanele,2481,iPhone 8,iPhone8 256GBNegru 4G+,Iphone,"Senzor Amprenta, Incarcare Wireless , Rezistent la Apa",4.5-5 inch,10-12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2482,Huawei P Smart Negru,Huawei P Smart Negru,Huawei,"Senzor Amprenta, Memorie Expandabila",Peste 5.4inch ,Peste 12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2483,Huawei P20 Lite,Huawei P20 Lite Negru 4G,Huawei,"Senzor Amprenta, Memorie Expandabila,  Mufa Jack ",Peste 5.4inch ,Peste 12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2484,Samsung GALAXY J5 2017,Samsung GALAXY J5 2017 Negru 4G,Samsung,"Senzor Amprenta, Memorie Expandabila, Mufa Jack ",4.5-5 inch,Peste 12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2485,iPhone 8 Plus,iPhone8 Plus 64GBAuriu 4G+,Iphone,"Senzor Amprenta, Incarcare Wireless , Rezistent la Apa",Peste 5.4inch ,10-12 MP,64 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2486,Nokia 1 Albastru,Nokia 1 Albastru,Nokia,"Memorie Expandabila, Mufa Jack ",4.5-5 inch,"5-7,8 MP",8 GB ,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2487,Samsung Galaxy A6 4G+,Samsung Galaxy A6 4G+ Negru,Samsung,"Senzor Amprenta, Memorie Expandabila, Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,Peste 12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2488,Alcatel U5,Alcatel U5 5 inch Negru,Alcatel,"Memorie Expandabila, Mufa Jack",4.5-5 inch,5-7.9 MP ,8 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2489,Samsung Galaxy A5 2017,Samsung Galaxy A5 2017 32 GB Auriu 4G+,Samsung,"Senzor Amprenta, Memorie Expandabila,  Mufa Jack ",5-5.4 inch,Peste 12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2490,Vodafone Smart N9,Vodafone Smart N9 Alb,Vodafone,"Senzor Amprenta, Memorie Expandabila, Mufa Jack ",Peste 5.4inch ,Peste 12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2491,Huawei P20,Huawei P20 Negru 4G,Huawei,"Senzor Amprenta, Memorie Expandabila, Rezistent la Apa",Peste 5.4inch ,Peste 12 MP,Peste 64 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2492,Huawei P9 Lite 2017,Huawei P9 Lite 2017 4G Negru,Huawei,"Senzor Amprenta, Memorie Expandabila",5-5.4 inch,10-12 MP,16 GB,Magazin Vodafone - Bucuresti Magheru
Toate Telefoanele,2493,Samsung GALAXY S7 Edge,Samsung Galaxy S7 Edge 32 GB 4G+ Auriu,Samsung,"Senzor Amprenta, Memorie Expandabila,Incarcare Wireless , Rezistent la Apa , Mufa Jack ",Peste 5.4inch ,10-12 MP,32 GB,Magazin Vodafone - Bucuresti Magheru
